Nom;Famille;Type;ID équipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Cage d'escalier;Opérationnel/HS;Validation
CLIM COULOIRFACE A CH 625;;CLIMATISATION DETENTE DIRECTE;ER 556;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 45 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 201;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
A-4-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 007;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;4;;;Opérationnel;Validé
CLIM VRV 6 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 073;;;1er étage chambre281 à 289;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
SPLIT SYSTEM TGBT STADE NIV 1.00;;CLIMATISATION DETENTE DIRECTE;SLII 279;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;LT48;;Opérationnel;Validé
CLIM VEST HOMMES 2FONT;;CLIMATISATION DETENTE DIRECTE;2F 018;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM 5 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0011;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie tech cusine;;Opérationnel;Validé
CLIM CH  284;;CLIMATISATION DETENTE DIRECTE;2F 028;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
VRV III GF 03 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 006;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM BUREAU 3 jasmine rdc HDC;;CLIMATISATION DETENTE DIRECTE;HDC 071;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM OFFICE DROITE 5 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 097;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLM SERVICE N+1;;CLIMATISATION DETENTE DIRECTE;ER 506;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C-10-1 (5P);;CLIMATISATION DETENTE DIRECTE;Houston 047;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;10;;;Opérationnel;Validé
GROUPE EXT VESTIARES TENNIS;;CLIMATISATION DETENTE DIRECTE;DIVERS 041;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM OFFICE  vestiaire femme 3ème HDC;;CLIMATISATION DETENTE DIRECTE;HDC 064;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C-20 (6P);;CLIMATISATION DETENTE DIRECTE;Europa 067;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;21;;;Opérationnel;Validé
CLIM VRV 1 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 068;RXYQ8T7Y1B9;;3eme droite;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
C1-27-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 069;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;27;;;Opérationnel;Validé
VRV III GF 05 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 008;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 201;;CLIMATISATION DETENTE DIRECTE;2F 110;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SALON HALL DROITE;;CLIMATISATION DETENTE DIRECTE;HDC 505;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 121 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 029;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 92 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 135;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM DIRECTION;;CLIMATISATION DETENTE DIRECTE;WCFC 0016;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM SERVICE N+4 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0144;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM CH 33_2 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 096;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM COULOIR RDC;;CLIMATISATION DETENTE DIRECTE;hdc 306;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 5 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 048;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM SPA SUITE RIVAGE;;CLIMATISATION DETENTE DIRECTE;DIVERS 056;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 94 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 134;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 611;;CLIMATISATION DETENTE DIRECTE;EDR 0089;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM COULOIR RDC EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0087;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-16-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 034;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;16;;;Opérationnel;Validé
groupe VIENNOISERIE eden ;;CLIMATISATION DETENTE DIRECTE;ER 630;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 127 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 041;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM HALL N+1 2FONT;;CLIMATISATION DETENTE DIRECTE;2F 024;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C2-21-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 113;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;21;;;Opérationnel;Validé
CLIM CH 615;;CLIMATISATION DETENTE DIRECTE;EDR 0093;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLM OFFICE N+1;;CLIMATISATION DETENTE DIRECTE;HDC 403;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
clim ch 2 1er  cèdres ;;CLIMATISATION DETENTE DIRECTE;CEDRES 005;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Local chaufferie;;Opérationnel;Validé
C2-18-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 108;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;18;;;Opérationnel;Validé
GROUPE CLIM PATISSERIE;;CLIMATISATION DETENTE DIRECTE;ER 452;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM OFFICE ASCENSEUR HDC;;CLIMATISATION DETENTE DIRECTE;HDC 122;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 649;;CLIMATISATION DETENTE DIRECTE;EDR 0146;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM N°1 ESCALE;;CLIMATISATION DETENTE DIRECTE;ER 650;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C0 (STUDIO);;CLIMATISATION DETENTE DIRECTE;Europa 042;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;rdc;;;Opérationnel;Validé
C1-07-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 011;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;7;;;Opérationnel;Validé
C2-04-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 092;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;4;;;Opérationnel;Validé
C2-13-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 099;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;13;;;Opérationnel;Validé
CLIM COULOIR ch 90  HDC;;CLIMATISATION DETENTE DIRECTE;HDC 060;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C1-11-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 020;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;11;;;Opérationnel;Validé
CLIM CH 72 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 116;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM TGBT BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 066;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Zone technique;;Opérationnel;Validé
CLIM CH 126 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 034;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM BUREAU 1 HEDERA;;CLIMATISATION DETENTE DIRECTE;HEDERA_004;;;;HDCER;Bâtiment Les Horizons;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 289;;CLIMATISATION DETENTE DIRECTE;2F 023;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM RESTAURANT 4 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 066;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM 1 PLIEUSE BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 402;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 312;;CLIMATISATION DETENTE DIRECTE;2F 040;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C1-26-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 063;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;26;;;Opérationnel;Validé
C2-09-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 094;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;9;;;Opérationnel;Validé
CLIM GARDE MANGER;;CLIMATISATION DETENTE DIRECTE;EDR 0039;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM 2 SALLE DE COURS 1;;CLIMATISATION DETENTE DIRECTE;WCFC 0032;;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
C1-23-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 057;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;23;;;Opérationnel;Validé
NETTOYAGE CLIM BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 091;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C-21-1 (5P);;CLIMATISATION DETENTE DIRECTE;Europa 069;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;21;;;Opérationnel;Validé
CLIM CH 603;;CLIMATISATION DETENTE DIRECTE;EDR 0084;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM SPA DIOR AZUR;;CLIMATISATION DETENTE DIRECTE;DIVERS 057;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM 02 OLGA clim 1er chambre de gauche ;;CLIMATISATION DETENTE DIRECTE;OLGA 006;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM room service EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0097;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C2-29-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 126;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;29;;;Opérationnel;Validé
CLIM HALL   EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0096;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
kerman;;CLIMATISATION DETENTE DIRECTE;c1-6-1;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;6;;;Opérationnel;Rejeté
B-21 (8P);;CLIMATISATION DETENTE DIRECTE;Europa 040;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;21;;;Opérationnel;Validé
CLIM SALLE DE REPOS;;CLIMATISATION DETENTE DIRECTE;WCFC 0013;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM CH 634;;CLIMATISATION DETENTE DIRECTE;EDR 0136;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C1-13-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 022;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;13;;;Opérationnel;Validé
LOCAL VESTIAIRES;;CLIMATISATION DETENTE DIRECTE;Houston 035;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;rdc;;;Opérationnel;Validé
VRV 1 BIS;;CLIMATISATION DETENTE DIRECTE;WCFC 0039;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
SPLIT SYSTEM REGIE TECHNIQUE LT26 NIV 23.75;;CLIMATISATION DETENTE DIRECTE;SLII 277;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 100;;;Opérationnel;Validé
CLIM CHAMBRE FROIDE CHOCOLAT N-1;;CLIMATISATION DETENTE DIRECTE;ER 680;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
CLIM PEDICURE;;CLIMATISATION DETENTE DIRECTE;WCFC 0025;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM CH 1 ST ANNE ANNEXE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 022;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV III GF 04 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 007;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM COMPTABILITE HDC;;CLIMATISATION DETENTE DIRECTE;HDC 077;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM DIRECTEUR general HDC;;CLIMATISATION DETENTE DIRECTE;HDC 061;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM SALLE DE MASSAGE;;CLIMATISATION DETENTE DIRECTE;WCFC 0021;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
C-06-1 (7P);;CLIMATISATION DETENTE DIRECTE;Europa 049;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;6;;;Opérationnel;Validé
CLIM CH 650;;CLIMATISATION DETENTE DIRECTE;EDR 0145;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM CH N°2;;CLIMATISATION DETENTE DIRECTE;FELIX 22;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM VIENNOISERIE;;CLIMATISATION DETENTE DIRECTE;EDR 0036;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM 4 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0010;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie tech cusine;;Opérationnel;Validé
CLIM CH 644;;CLIMATISATION DETENTE DIRECTE;EDR 0140;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM OFFICE 01 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 036;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C1-14-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 026;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;14;;;Opérationnel;Validé
CLIM OFFICE service N+2 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0138;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 616;;CLIMATISATION DETENTE DIRECTE;EDR 203;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV GF1 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0072;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM CH 187;;CLIMATISATION DETENTE DIRECTE;2F 001;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
GROUPE VRV 01 FELIX;;CLIMATISATION DETENTE DIRECTE;FELIX 002;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
BUREAUX B RDC (7P);;CLIMATISATION DETENTE DIRECTE;Europa 018;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;rdc;;;Opérationnel;Validé
CLIM DOUCHE -1;;CLIMATISATION DETENTE DIRECTE;HDC 409;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM LOCAL JARDINIERS;;CLIMATISATION DETENTE DIRECTE;DIVERS 001;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 59 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 105;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 60 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 104;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C2-16-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 104;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;16;;;Opérationnel;Validé
CLIM BUREAU RESERVATION N°3;;CLIMATISATION DETENTE DIRECTE;HDC 557;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM CH 51 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 080;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 41 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 202;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C2-24-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 120;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;24;;;Opérationnel;Validé
CLIM PREPA FROIDE  -1 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 038;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
GROUPE CLIM CHOCOLATERIE;;CLIMATISATION DETENTE DIRECTE;ER 450;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM CH 15 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 053;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV III GF 17 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 020;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
VRV III GF 02 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 005;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C2-18-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 109;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;18;;;Opérationnel;Validé
C1-20-5 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 051;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;20;;;Opérationnel;Validé
CLIM SALLE BELINI FOND;;CLIMATISATION DETENTE DIRECTE;HDC 506;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 87 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 125;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM COULOIR 1 FACE OFFICE SERVICE;;CLIMATISATION DETENTE DIRECTE;ER 557;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM GOUVERNANTE GENERALE;;CLIMATISATION DETENTE DIRECTE;2F 320;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 635;;CLIMATISATION DETENTE DIRECTE;EDR 0129;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM REFECTOIRE BOULANGEIRE;;CLIMATISATION DETENTE DIRECTE;EDR 0079;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM CH 58 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 106;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 207;;CLIMATISATION DETENTE DIRECTE;2F 117;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 2 ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 002;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CUISINE SELF;;CLIMATISATION DETENTE DIRECTE;EDR 0102;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
GROUPE VRV HEDERA;;CLIMATISATION DETENTE DIRECTE;HEDERA_001;;;;HDCER;Bâtiment Les Horizons;1 Chemin de la Liberté, 72527 Bordeaux;Extérieur;;;Opérationnel;Validé
CLIM CH 47 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 090;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 19 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 089;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-32-5 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 083;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;32;;;Opérationnel;Validé
C2-17-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 107;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;17;;;Opérationnel;Validé
C-11-1 (5P);;CLIMATISATION DETENTE DIRECTE;Houston 048;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;11;;;Opérationnel;Validé
CLIM CH 188;;CLIMATISATION DETENTE DIRECTE;2F 002;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 624;;CLIMATISATION DETENTE DIRECTE;EDR 0107;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 301;;CLIMATISATION DETENTE DIRECTE;2F 030;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C2-08-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 093;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;8;;;Opérationnel;Validé
